CustomerID,total_orders,total_spent,avg_order_value,customer_type
12877,1,150.06,150.06,"One Time"
12913,1,417.62,417.62,"One Time"
12915,1,199.65,199.65,"One Time"
12921,2,687.8,343.9,Occasional
12928,1,392.34,392.34,"One Time"
12931,2,177,88.5,Occasional
12942,1,258.75,258.75,"One Time"
12947,1,304.04,304.04,"One Time"
12963,1,365.8,365.8,"One Time"
12967,2,1660.9,830.45,Occasional
12971,4,321.59,80.4,Occasional
12980,1,889.32,889.32,"One Time"
12989,1,202.5,202.5,"One Time"
13000,1,201.75,201.75,"One Time"
13004,1,357.01,357.01,"One Time"
13011,1,50.55,50.55,"One Time"
13013,2,1528.34,764.17,Occasional
13021,1,157.35,157.35,"One Time"
13030,1,427.74,427.74,"One Time"
13033,1,190.55,190.55,"One Time"
13034,1,165.86,165.86,"One Time"
13047,3,366.63,122.21,Occasional
13050,3,930.37,310.12,Occasional
13065,1,205.86,205.86,"One Time"
13069,4,644.12,161.03,Occasional
13077,1,313.72,313.72,"One Time"
13078,2,881.16,440.58,Occasional
13081,2,2366.78,1183.39,Occasional
13089,8,5953.21,744.15,Frequent
13090,3,1008.4,336.13,Occasional
13092,1,185.45,185.45,"One Time"
13093,3,3795.51,1265.17,Occasional
13094,1,223.68,223.68,"One Time"
13097,1,304.9,304.9,"One Time"
13102,2,673.92,336.96,Occasional
13108,1,350.06,350.06,"One Time"
13113,1,372.97,372.97,"One Time"
13117,2,388.15,194.08,Occasional
13124,1,1256.32,1256.32,"One Time"
13126,2,223.44,111.72,Occasional
13138,1,193.23,193.23,"One Time"
13140,1,159.51,159.51,"One Time"
13145,1,295,295,"One Time"
13148,1,309.4,309.4,"One Time"
13155,1,379.7,379.7,"One Time"
13173,1,165.94,165.94,"One Time"
13174,1,1415.97,1415.97,"One Time"
13178,1,710,710,"One Time"
13198,1,384.55,384.55,"One Time"
13199,2,711.8,355.9,Occasional
13209,1,318.85,318.85,"One Time"
13211,1,110.7,110.7,"One Time"
13221,1,498.16,498.16,"One Time"
13225,1,1206.72,1206.72,"One Time"
13230,1,93.45,93.45,"One Time"
13238,1,91.15,91.15,"One Time"
13240,1,224.07,224.07,"One Time"
13255,1,225.7,225.7,"One Time"
13267,2,622.3,311.15,Occasional
13269,2,662.17,331.08,Occasional
13270,1,590,590,"One Time"
13295,1,201.2,201.2,"One Time"
13305,1,136.2,136.2,"One Time"
13317,2,238.05,119.02,Occasional
13319,2,759.28,379.64,Occasional
13324,1,650.1,650.1,"One Time"
13327,2,745,372.5,Occasional
13329,1,304.2,304.2,"One Time"
13369,1,308.28,308.28,"One Time"
13370,1,754.87,754.87,"One Time"
13402,1,308.28,308.28,"One Time"
13408,5,3031.2,606.24,Occasional
13418,5,1579.62,315.92,Occasional
13426,1,336.98,336.98,"One Time"
13448,3,829.54,276.51,Occasional
13455,1,692.94,692.94,"One Time"
13458,1,1185.86,1185.86,"One Time"
13468,4,911,227.75,Occasional
13488,1,1381.92,1381.92,"One Time"
13491,2,196.4,98.2,Occasional
13495,2,865.43,432.72,Occasional
13496,1,501.01,501.01,"One Time"
13497,1,153.5,153.5,"One Time"
13506,1,301.12,301.12,"One Time"
13520,1,303.4,303.4,"One Time"
13523,1,566.95,566.95,"One Time"
13531,1,305.45,305.45,"One Time"
13534,2,283.2,141.6,Occasional
13564,1,540,540,"One Time"
13569,1,118.32,118.32,"One Time"
13576,1,349.15,349.15,"One Time"
13579,1,164.7,164.7,"One Time"
13599,2,352.84,176.42,Occasional
13611,1,303.15,303.15,"One Time"
13627,1,311.19,311.19,"One Time"
13649,1,197.8,197.8,"One Time"
13652,1,308.8,308.8,"One Time"
13668,1,177.66,177.66,"One Time"
13694,2,2897.04,1448.52,Occasional
13705,1,318.14,318.14,"One Time"
13715,3,496.63,165.54,Occasional
13747,1,79.6,79.6,"One Time"
13748,1,204,204,"One Time"
13756,3,1004.4,334.8,Occasional
13758,2,718.85,359.42,Occasional
13767,6,2439.36,406.56,Frequent
13769,1,322.3,322.3,"One Time"
13777,9,6840.16,760.02,Frequent
13786,1,230.4,230.4,"One Time"
13787,1,106.4,106.4,"One Time"
13798,2,4170.66,2085.33,Occasional
13807,1,112.6,112.6,"One Time"
13831,1,408,408,"One Time"
13838,1,238.11,238.11,"One Time"
13842,1,310.57,310.57,"One Time"
13846,1,411.4,411.4,"One Time"
13848,1,320,320,"One Time"
13854,2,609.44,304.72,Occasional
13869,1,323.62,323.62,"One Time"
13874,1,540.45,540.45,"One Time"
13880,1,97.8,97.8,"One Time"
13890,1,190.35,190.35,"One Time"
13941,1,1095.12,1095.12,"One Time"
13948,1,102,102,"One Time"
13959,1,214.74,214.74,"One Time"
13963,1,151.3,151.3,"One Time"
13969,1,317.59,317.59,"One Time"
13982,1,428.6,428.6,"One Time"
13983,1,329.36,329.36,"One Time"
13984,1,154.8,154.8,"One Time"
13999,1,302.1,302.1,"One Time"
14001,1,301.24,301.24,"One Time"
14016,1,753.74,753.74,"One Time"
14030,2,676.5,338.25,Occasional
14031,3,2568.95,856.32,Occasional
14032,2,619.42,309.71,Occasional
14037,1,111.8,111.8,"One Time"
14045,1,326.4,326.4,"One Time"
14047,1,286.92,286.92,"One Time"
14051,2,1100.12,550.06,Occasional
14057,2,925.92,462.96,Occasional
14060,3,874.04,291.35,Occasional
14062,1,966.62,966.62,"One Time"
14078,1,136.24,136.24,"One Time"
14081,1,423.52,423.52,"One Time"
14082,1,182.25,182.25,"One Time"
14083,1,309.54,309.54,"One Time"
14085,2,799.29,399.64,Occasional
14092,1,250.65,250.65,"One Time"
14107,1,363.24,363.24,"One Time"
14135,2,804.25,402.13,Occasional
14142,1,311.81,311.81,"One Time"
14146,1,1241.43,1241.43,"One Time"
14150,1,306.18,306.18,"One Time"
14156,1,322.2,322.2,"One Time"
14159,1,193.22,193.22,"One Time"
14161,1,283.15,283.15,"One Time"
14176,1,159.55,159.55,"One Time"
14180,4,896.25,224.06,Occasional
14189,1,311.24,311.24,"One Time"
14201,1,67.24,67.24,"One Time"
14210,1,304.95,304.95,"One Time"
14215,1,166,166,"One Time"
14217,1,118.3,118.3,"One Time"
14220,1,312.98,312.98,"One Time"
14236,1,189.3,189.3,"One Time"
14237,1,161,161,"One Time"
14243,2,472,236,Occasional
14256,1,523.86,523.86,"One Time"
14282,1,571,571,"One Time"
14290,1,777.56,777.56,"One Time"
14293,1,364.92,364.92,"One Time"
14298,3,2973.06,991.02,Occasional
14299,1,429.24,429.24,"One Time"
14307,1,783.11,783.11,"One Time"
14309,1,147.75,147.75,"One Time"
14334,1,320.15,320.15,"One Time"
14344,3,355.65,118.55,Occasional
14355,1,174.4,174.4,"One Time"
14373,1,76.55,76.55,"One Time"
14388,1,312.8,312.8,"One Time"
14390,1,223.7,223.7,"One Time"
14395,1,308.68,308.68,"One Time"
14396,1,110.35,110.35,"One Time"
14401,1,247.38,247.38,"One Time"
14404,1,133.48,133.48,"One Time"
14409,2,328.8,164.4,Occasional
14413,1,122.7,122.7,"One Time"
14414,1,217.2,217.2,"One Time"
14415,1,875.18,875.18,"One Time"
14419,1,124.1,124.1,"One Time"
14437,1,63,63,"One Time"
14440,1,656.7,656.7,"One Time"
14443,1,303.5,303.5,"One Time"
14448,1,102.35,102.35,"One Time"
14449,1,210.24,210.24,"One Time"
14466,1,379.75,379.75,"One Time"
14472,1,279.88,279.88,"One Time"
14479,1,174.4,174.4,"One Time"
14487,1,125.1,125.1,"One Time"
14491,1,127.2,127.2,"One Time"
14496,1,304.34,304.34,"One Time"
14498,1,166.22,166.22,"One Time"
14505,1,1050.35,1050.35,"One Time"
14506,1,269.7,269.7,"One Time"
14524,1,275.45,275.45,"One Time"
14525,1,462.3,462.3,"One Time"
14527,3,786.64,262.21,Occasional
14543,1,254.4,254.4,"One Time"
14544,1,1121.92,1121.92,"One Time"
14560,1,408.17,408.17,"One Time"
14565,1,1167.41,1167.41,"One Time"
14573,1,413.1,413.1,"One Time"
14576,1,35.4,35.4,"One Time"
14577,1,346.9,346.9,"One Time"
14589,1,39.75,39.75,"One Time"
14594,1,255,255,"One Time"
14606,6,1028.15,171.36,Frequent
14608,1,204,204,"One Time"
14621,1,305.7,305.7,"One Time"
14625,1,585.53,585.53,"One Time"
14639,1,676.54,676.54,"One Time"
14643,1,357.94,357.94,"One Time"
14646,1,70.96,70.96,"One Time"
14667,5,1998.1,399.62,Occasional
14673,1,373.49,373.49,"One Time"
14680,2,2875.4,1437.7,Occasional
14684,1,168.36,168.36,"One Time"
14688,1,444.98,444.98,"One Time"
14696,1,294.62,294.62,"One Time"
14702,1,318.7,318.7,"One Time"
14708,1,419.06,419.06,"One Time"
14709,1,314.1,314.1,"One Time"
14713,2,425.85,212.92,Occasional
14723,3,471,157,Occasional
14729,1,313.49,313.49,"One Time"
14733,2,3525.14,1762.57,Occasional
14735,1,252.2,252.2,"One Time"
14739,1,713.88,713.88,"One Time"
14741,2,495.3,247.65,Occasional
14744,1,225,225,"One Time"
14748,2,470.42,235.21,Occasional
14766,1,180.4,180.4,"One Time"
14769,1,347.01,347.01,"One Time"
14775,1,406.56,406.56,"One Time"
14796,2,1028.82,514.41,Occasional
14800,2,1219.85,609.92,Occasional
14810,1,180.44,180.44,"One Time"
14813,2,155.43,77.71,Occasional
14821,1,48.8,48.8,"One Time"
14825,2,396.43,198.22,Occasional
14829,2,385.33,192.67,Occasional
14841,1,395.16,395.16,"One Time"
14849,5,566.89,113.38,Occasional
14865,1,37.2,37.2,"One Time"
14866,1,103.68,103.68,"One Time"
14871,1,140.4,140.4,"One Time"
14878,1,322.01,322.01,"One Time"
14896,1,257.22,257.22,"One Time"
14898,1,98.5,98.5,"One Time"
14901,3,497.05,165.68,Occasional
14907,3,960.69,320.23,Occasional
14911,11,6685.79,607.8,Frequent
14913,1,300.87,300.87,"One Time"
14932,1,363.53,363.53,"One Time"
14952,1,686.16,686.16,"One Time"
14961,2,1182.7,591.35,Occasional
14985,1,124.51,124.51,"One Time"
14987,1,163.2,163.2,"One Time"
15002,1,631.65,631.65,"One Time"
15005,2,470.41,235.2,Occasional
15012,1,191.06,191.06,"One Time"
15018,1,111.25,111.25,"One Time"
15021,1,205.64,205.64,"One Time"
15023,1,460.6,460.6,"One Time"
15024,2,491.22,245.61,Occasional
15028,1,185.97,185.97,"One Time"
15032,2,2770.6,1385.3,Occasional
15038,1,126.43,126.43,"One Time"
15039,2,1317.76,658.88,Occasional
15044,2,1499.75,749.88,Occasional
15048,1,98.7,98.7,"One Time"
15061,12,19950.66,1662.55,Frequent
15062,1,209.08,209.08,"One Time"
15070,1,106.2,106.2,"One Time"
15078,2,475.15,237.57,Occasional
15079,1,141.95,141.95,"One Time"
15081,1,111.15,111.15,"One Time"
15093,1,623.73,623.73,"One Time"
15100,2,700.8,350.4,Occasional
15101,1,102.28,102.28,"One Time"
15107,2,177.05,88.52,Occasional
15111,1,288.5,288.5,"One Time"
15157,1,1085.46,1085.46,"One Time"
15159,2,1860.98,930.49,Occasional
15160,1,158.16,158.16,"One Time"
15165,1,487.75,487.75,"One Time"
15180,1,87.5,87.5,"One Time"
15192,1,315,315,"One Time"
15194,3,1558.99,519.66,Occasional
15197,1,556.5,556.5,"One Time"
15204,1,316.58,316.58,"One Time"
15211,1,383.07,383.07,"One Time"
15221,1,403.25,403.25,"One Time"
15224,2,322.08,161.04,Occasional
15235,2,165.05,82.52,Occasional
15246,1,186,186,"One Time"
15260,2,420.5,210.25,Occasional
15271,1,111.75,111.75,"One Time"
15288,1,165.65,165.65,"One Time"
15290,1,219.6,219.6,"One Time"
15291,2,648.9,324.45,Occasional
15298,1,397.6,397.6,"One Time"
15299,3,1835.01,611.67,Occasional
15301,1,673.37,673.37,"One Time"
15304,1,123.15,123.15,"One Time"
15311,7,2285.91,326.56,Frequent
15332,4,1661.06,415.26,Occasional
15347,1,201.6,201.6,"One Time"
15350,1,115.65,115.65,"One Time"
15351,1,274.67,274.67,"One Time"
15353,1,311.65,311.65,"One Time"
15356,2,365.54,182.77,Occasional
15358,2,624.55,312.27,Occasional
15361,1,418.92,418.92,"One Time"
15363,1,326,326,"One Time"
15366,1,105.54,105.54,"One Time"
15373,2,537.1,268.55,Occasional
15379,1,1491.46,1491.46,"One Time"
15380,1,230.1,230.1,"One Time"
15384,1,303.57,303.57,"One Time"
15392,1,338.98,338.98,"One Time"
15394,1,587.66,587.66,"One Time"
15426,1,411.42,411.42,"One Time"
15454,1,179.1,179.1,"One Time"
15456,1,243.22,243.22,"One Time"
15465,2,867.85,433.93,Occasional
15482,2,723.64,361.82,Occasional
15485,1,950.09,950.09,"One Time"
15498,2,976.72,488.36,Occasional
15502,3,929.4,309.8,Occasional
15503,1,147.09,147.09,"One Time"
15512,1,101.2,101.2,"One Time"
15513,2,1313.5,656.75,Occasional
15514,4,1884.71,471.18,Occasional
15525,1,313.93,313.93,"One Time"
15529,2,321.46,160.73,Occasional
15532,1,356.35,356.35,"One Time"
15544,1,354.54,354.54,"One Time"
15545,1,135.33,135.33,"One Time"
15547,1,767.37,767.37,"One Time"
15555,3,989.82,329.94,Occasional
15563,1,270.19,270.19,"One Time"
15570,3,1064.64,354.88,Occasional
15574,3,590.15,196.72,Occasional
15581,3,316.76,105.59,Occasional
15596,1,402.32,402.32,"One Time"
15601,2,1236.45,618.22,Occasional
15602,2,152.55,76.28,Occasional
15605,1,194.85,194.85,"One Time"
15615,3,1081.19,360.4,Occasional
15620,1,424.49,424.49,"One Time"
15628,1,319.18,319.18,"One Time"
15640,3,2766.69,922.23,Occasional
15641,1,308.37,308.37,"One Time"
15646,1,189.8,189.8,"One Time"
15649,1,510,510,"One Time"
15658,1,306.2,306.2,"One Time"
15660,1,209.3,209.3,"One Time"
15680,1,478.89,478.89,"One Time"
15689,1,103.5,103.5,"One Time"
15694,3,847.33,282.44,Occasional
15708,1,350.68,350.68,"One Time"
15713,1,171.15,171.15,"One Time"
15716,1,547.1,547.1,"One Time"
15723,1,203.1,203.1,"One Time"
15727,1,1536.85,1536.85,"One Time"
15732,1,138.1,138.1,"One Time"
15738,1,329.65,329.65,"One Time"
15750,2,340.52,170.26,Occasional
15752,1,259.65,259.65,"One Time"
15759,1,97.24,97.24,"One Time"
15769,1,91.8,91.8,"One Time"
15777,1,365.55,365.55,"One Time"
15780,1,177.15,177.15,"One Time"
15789,1,351.3,351.3,"One Time"
15805,1,370.8,370.8,"One Time"
15808,2,2249.85,1124.93,Occasional
15811,2,438.8,219.4,Occasional
15822,1,440.2,440.2,"One Time"
15823,1,15,15,"One Time"
15827,2,190.93,95.46,Occasional
15838,1,957.5,957.5,"One Time"
15854,1,230.1,230.1,"One Time"
15856,2,2312.54,1156.27,Occasional
15858,1,383.93,383.93,"One Time"
15860,1,102.66,102.66,"One Time"
15862,1,354.23,354.23,"One Time"
15867,2,314.3,157.15,Occasional
15880,1,343.28,343.28,"One Time"
15881,2,155.25,77.62,Occasional
15882,2,371.32,185.66,Occasional
15889,1,297.92,297.92,"One Time"
15894,1,156.74,156.74,"One Time"
15898,2,521.69,260.85,Occasional
15899,1,56.25,56.25,"One Time"
15916,2,232.45,116.22,Occasional
15919,1,270.72,270.72,"One Time"
15922,1,369.5,369.5,"One Time"
15923,1,127.08,127.08,"One Time"
15945,1,181,181,"One Time"
15950,1,428.82,428.82,"One Time"
15953,1,209.84,209.84,"One Time"
15955,1,572.38,572.38,"One Time"
15965,1,156.19,156.19,"One Time"
15973,1,307.82,307.82,"One Time"
15983,3,1148.27,382.76,Occasional
15984,1,122.7,122.7,"One Time"
15987,1,113.48,113.48,"One Time"
15996,1,263.25,263.25,"One Time"
15998,1,863.39,863.39,"One Time"
16003,1,1181,1181,"One Time"
16010,1,110.1,110.1,"One Time"
16011,2,406.1,203.05,Occasional
16013,5,2973,594.6,Occasional
16016,1,382.27,382.27,"One Time"
16019,1,219.1,219.1,"One Time"
16029,5,12633.12,2526.62,Occasional
16033,2,309.69,154.84,Occasional
16037,1,300.46,300.46,"One Time"
16048,2,256.44,128.22,Occasional
16059,1,118.25,118.25,"One Time"
16062,1,247.56,247.56,"One Time"
16065,1,372.09,372.09,"One Time"
16081,1,157.6,157.6,"One Time"
16083,1,337.98,337.98,"One Time"
16086,1,177.26,177.26,"One Time"
16098,1,430.6,430.6,"One Time"
16122,1,105.72,105.72,"One Time"
16125,1,289.35,289.35,"One Time"
16134,1,283.53,283.53,"One Time"
16140,1,124.14,124.14,"One Time"
16143,1,355.75,355.75,"One Time"
16145,1,302.78,302.78,"One Time"
16150,1,393.42,393.42,"One Time"
16153,1,215.01,215.01,"One Time"
16161,3,576.3,192.1,Occasional
16163,1,441.6,441.6,"One Time"
16168,1,275.8,275.8,"One Time"
16186,1,307.68,307.68,"One Time"
16191,2,627.6,313.8,Occasional
16202,1,365.27,365.27,"One Time"
16203,1,170.7,170.7,"One Time"
16210,4,7000.64,1750.16,Occasional
16218,1,471.3,471.3,"One Time"
16221,1,166.74,166.74,"One Time"
16233,1,147.4,147.4,"One Time"
16241,1,277.65,277.65,"One Time"
16244,1,1056.63,1056.63,"One Time"
16250,1,226.14,226.14,"One Time"
16255,1,374.25,374.25,"One Time"
16265,2,840.81,420.4,Occasional
16271,1,133.22,133.22,"One Time"
16274,1,357.95,357.95,"One Time"
16293,1,378.75,378.75,"One Time"
16306,1,68.1,68.1,"One Time"
16316,1,308.22,308.22,"One Time"
16327,1,535.6,535.6,"One Time"
16353,3,408,136,Occasional
16365,2,368.46,184.23,Occasional
16367,1,170.91,170.91,"One Time"
16385,1,148.23,148.23,"One Time"
16393,2,291.55,145.78,Occasional
16402,1,211.8,211.8,"One Time"
16411,1,131.5,131.5,"One Time"
16422,2,1685.6,842.8,Occasional
16442,1,151.66,151.66,"One Time"
16455,3,531.98,177.33,Occasional
16456,1,787.4,787.4,"One Time"
16458,1,193.9,193.9,"One Time"
16470,1,216.34,216.34,"One Time"
16477,1,225.65,225.65,"One Time"
16499,2,365.45,182.72,Occasional
16503,1,488.09,488.09,"One Time"
16510,1,248.1,248.1,"One Time"
16519,1,103.7,103.7,"One Time"
16520,1,325.76,325.76,"One Time"
16525,2,802.44,401.22,Occasional
16531,1,92.82,92.82,"One Time"
16539,2,747.25,373.62,Occasional
16546,1,299.4,299.4,"One Time"
16550,1,554.66,554.66,"One Time"
16552,1,95.29,95.29,"One Time"
16553,2,1609.44,804.72,Occasional
16556,1,310.85,310.85,"One Time"
16558,2,880.55,440.27,Occasional
16560,1,332.18,332.18,"One Time"
16565,1,173.7,173.7,"One Time"
16583,1,233.45,233.45,"One Time"
16596,1,120.65,120.65,"One Time"
16607,2,654.82,327.41,Occasional
16634,1,164.8,164.8,"One Time"
16638,2,70.8,35.4,Occasional
16654,1,227.4,227.4,"One Time"
16656,1,428.76,428.76,"One Time"
16658,1,123.24,123.24,"One Time"
16665,1,135.4,135.4,"One Time"
16670,1,403.61,403.61,"One Time"
16679,1,129.75,129.75,"One Time"
16684,4,3113.4,778.35,Occasional
16686,1,364.98,364.98,"One Time"
16700,1,336.94,336.94,"One Time"
16701,1,476.76,476.76,"One Time"
16705,2,1131.72,565.86,Occasional
16710,2,524.97,262.48,Occasional
16711,1,214.2,214.2,"One Time"
16713,1,414.43,414.43,"One Time"
16717,1,307.25,307.25,"One Time"
16718,1,623.75,623.75,"One Time"
16719,1,430.73,430.73,"One Time"
16722,2,799.52,399.76,Occasional
16725,3,327.2,109.07,Occasional
16726,1,129.57,129.57,"One Time"
16727,1,272.82,272.82,"One Time"
16743,1,430.28,430.28,"One Time"
16746,1,311.64,311.64,"One Time"
16752,1,207.5,207.5,"One Time"
16754,1,2002.4,2002.4,"One Time"
16770,2,262.2,131.1,Occasional
16775,1,231.9,231.9,"One Time"
16779,2,687.83,343.92,Occasional
16781,1,311.25,311.25,"One Time"
16782,2,577.99,288.99,Occasional
16795,1,414.88,414.88,"One Time"
16805,1,214.77,214.77,"One Time"
16812,1,479.35,479.35,"One Time"
16814,1,273.29,273.29,"One Time"
16816,1,75.78,75.78,"One Time"
16817,2,367.3,183.65,Occasional
16835,1,81.75,81.75,"One Time"
16839,1,552.24,552.24,"One Time"
16858,1,375.69,375.69,"One Time"
16863,1,164.25,164.25,"One Time"
16873,1,2157.64,2157.64,"One Time"
16883,1,128.03,128.03,"One Time"
16885,1,190.65,190.65,"One Time"
16891,1,232.26,232.26,"One Time"
16893,1,145.93,145.93,"One Time"
16898,1,116.08,116.08,"One Time"
16899,1,170.55,170.55,"One Time"
16904,2,338.7,169.35,Occasional
16905,1,254.4,254.4,"One Time"
16907,1,182.02,182.02,"One Time"
16916,1,198.08,198.08,"One Time"
16919,2,540.01,270,Occasional
16923,1,550.5,550.5,"One Time"
16926,1,230.25,230.25,"One Time"
16927,1,218.1,218.1,"One Time"
16928,1,116.25,116.25,"One Time"
16931,2,364.66,182.33,Occasional
16945,1,279.85,279.85,"One Time"
16950,1,172,172,"One Time"
16954,1,346.8,346.8,"One Time"
16955,2,189.1,94.55,Occasional
16983,1,163.49,163.49,"One Time"
16985,1,933.32,933.32,"One Time"
17001,1,397.96,397.96,"One Time"
17007,2,207.12,103.56,Occasional
17017,5,2357.64,471.53,Occasional
17019,1,358.82,358.82,"One Time"
17025,2,160.97,80.48,Occasional
17026,1,33.15,33.15,"One Time"
17033,1,307.8,307.8,"One Time"
17041,1,304.5,304.5,"One Time"
17059,1,722.36,722.36,"One Time"
17062,3,435.73,145.24,Occasional
17068,2,297.45,148.72,Occasional
17069,2,583.2,291.6,Occasional
17076,1,151.5,151.5,"One Time"
17085,1,452.99,452.99,"One Time"
17091,1,293.45,293.45,"One Time"
17097,1,174.72,174.72,"One Time"
17126,1,212.6,212.6,"One Time"
17135,1,215.58,215.58,"One Time"
17146,1,298.25,298.25,"One Time"
17158,1,413.79,413.79,"One Time"
17179,1,243,243,"One Time"
17181,1,155.52,155.52,"One Time"
17188,1,513.64,513.64,"One Time"
17189,1,227.22,227.22,"One Time"
17191,3,510.11,170.04,Occasional
17194,1,252.62,252.62,"One Time"
17198,2,521.66,260.83,Occasional
17211,2,597.52,298.76,Occasional
17213,1,312.9,312.9,"One Time"
17214,1,171.05,171.05,"One Time"
17218,3,606.28,202.09,Occasional
17220,1,317.5,317.5,"One Time"
17223,1,292.84,292.84,"One Time"
17227,1,142.25,142.25,"One Time"
17228,2,355.95,177.98,Occasional
17230,1,1761.26,1761.26,"One Time"
17231,1,232.01,232.01,"One Time"
17235,1,341.9,341.9,"One Time"
17236,1,126.28,126.28,"One Time"
17238,2,370.09,185.04,Occasional
17243,3,855.05,285.02,Occasional
17251,1,283.28,283.28,"One Time"
17259,1,381.64,381.64,"One Time"
17262,1,268.86,268.86,"One Time"
17287,2,222.7,111.35,Occasional
17288,1,133.56,133.56,"One Time"
17293,1,346.14,346.14,"One Time"
17303,1,250.04,250.04,"One Time"
17315,1,108.92,108.92,"One Time"
17320,1,450.92,450.92,"One Time"
17324,1,127.05,127.05,"One Time"
17338,1,767.6,767.6,"One Time"
17339,1,60,60,"One Time"
17340,1,2671.27,2671.27,"One Time"
17341,1,513.6,513.6,"One Time"
17343,1,193.64,193.64,"One Time"
17346,2,247.84,123.92,Occasional
17358,1,246.7,246.7,"One Time"
17371,1,97.63,97.63,"One Time"
17372,2,370.78,185.39,Occasional
17375,1,109.71,109.71,"One Time"
17377,3,785.08,261.69,Occasional
17381,3,3603.72,1201.24,Occasional
17392,1,312.41,312.41,"One Time"
17396,1,397.5,397.5,"One Time"
17402,2,459.97,229.98,Occasional
17404,2,3834.3,1917.15,Occasional
17406,1,702.1,702.1,"One Time"
17412,2,447.76,223.88,Occasional
17419,2,374.27,187.13,Occasional
17420,1,130.85,130.85,"One Time"
17428,2,893.95,446.98,Occasional
17430,1,112.6,112.6,"One Time"
17449,1,684.26,684.26,"One Time"
17450,2,2028.84,1014.42,Occasional
17454,1,165.85,165.85,"One Time"
17456,1,249.86,249.86,"One Time"
17460,2,70.3,35.15,Occasional
17470,1,178.4,178.4,"One Time"
17491,1,327.4,327.4,"One Time"
17496,1,271.05,271.05,"One Time"
17511,3,6711.08,2237.03,Occasional
17519,1,335.3,335.3,"One Time"
17524,1,145,145,"One Time"
17525,1,422.7,422.7,"One Time"
17526,2,238.6,119.3,Occasional
17530,1,300.64,300.64,"One Time"
17551,1,306.84,306.84,"One Time"
17552,2,298.52,149.26,Occasional
17567,1,517.95,517.95,"One Time"
17572,1,70.8,70.8,"One Time"
17576,2,297,148.5,Occasional
17580,1,46.85,46.85,"One Time"
17581,2,786.78,393.39,Occasional
17591,1,406.6,406.6,"One Time"
17596,1,392.62,392.62,"One Time"
17611,1,244.19,244.19,"One Time"
17616,1,326.4,326.4,"One Time"
17618,1,320.28,320.28,"One Time"
17629,1,238.65,238.65,"One Time"
17643,1,101.55,101.55,"One Time"
17646,1,251,251,"One Time"
17655,1,676.1,676.1,"One Time"
17659,2,359.95,179.98,Occasional
17671,1,394.18,394.18,"One Time"
17674,1,300.66,300.66,"One Time"
17675,2,1019.12,509.56,Occasional
17676,1,300.7,300.7,"One Time"
17677,4,1616.6,404.15,Occasional
17682,1,391.5,391.5,"One Time"
17685,2,463.02,231.51,Occasional
17690,4,687.9,171.98,Occasional
17691,2,290.4,145.2,Occasional
17692,1,343.26,343.26,"One Time"
